Protein(g),Carbs(g),Fat(g),Diet_type_mediterranean,Diet_type_vegan,Cuisine_Group_Amerika,Cuisine_Group_Eropa,Cluster
52.87,100.71,28.39,0.0,1.0,1.0,0.0,0
23.5,92.68,28.95,0.0,1.0,1.0,0.0,0
1.61,27.46,0.63,0.0,1.0,1.0,0.0,0
25.85,207.13,64.9,0.0,1.0,0.0,1.0,1
51.06,204.95,54.93,0.0,1.0,1.0,0.0,0
19.38,93.24,11.53,0.0,1.0,0.0,1.0,1
4.2,164.16,14.87,0.0,1.0,1.0,0.0,0
28.42,244.78000000000003,1.47,0.0,1.0,1.0,0.0,0
4.48,111.57,15.809999999999999,0.0,1.0,1.0,0.0,0
39.1,139.69,22.25,0.0,1.0,1.0,0.0,0
67.39,364.68,36.02,0.0,1.0,1.0,0.0,0
100.45,309.31,61.96,0.0,1.0,1.0,0.0,0
12.37,27.62,14.540000000000001,0.0,1.0,1.0,0.0,0
52.36,390.02,84.29,0.0,1.0,1.0,0.0,0
7.42,82.5,24.29,0.0,1.0,1.0,0.0,0
21.24,79.57,92.14000000000001,0.0,1.0,0.0,1.0,1
20.55,440.45,79.32,0.0,1.0,1.0,0.0,0
5.99,29.769999999999996,1.48,0.0,1.0,1.0,0.0,0
91.98,243.48,112.79000000000002,0.0,1.0,1.0,0.0,0
76.95,355.52,41.04,0.0,1.0,1.0,0.0,0
1.19,424.99,193.24,0.0,1.0,1.0,0.0,0
50.28,107.77,31.460000000000004,0.0,1.0,1.0,0.0,0
3.26,61.03,3.23,0.0,1.0,1.0,0.0,0
33.4,355.7,147.51,0.0,1.0,1.0,0.0,0
2.58,40.25,14.28,0.0,1.0,1.0,0.0,0
51.29,101.78,127.62999999999998,0.0,1.0,1.0,0.0,0
66.77,281.85,107.08999999999999,0.0,1.0,1.0,0.0,0
70.95,39.43,62.98,0.0,1.0,1.0,0.0,0
5.78,84.31,0.8900000000000001,0.0,1.0,1.0,0.0,0
16.63,173.09,43.5,0.0,1.0,1.0,0.0,0
39.05,157.15,134.2,0.0,1.0,1.0,0.0,0
39.86,167.6,36.62,0.0,1.0,0.0,1.0,1
57.79,210.99,172.74,0.0,1.0,1.0,0.0,0
6.27,18.38,77.51,0.0,1.0,1.0,0.0,0
36.9,128.0,128.65,0.0,1.0,1.0,0.0,0
97.94,217.78,168.32,0.0,1.0,1.0,0.0,0
20.83,236.24,117.68,0.0,1.0,1.0,0.0,0
163.88,380.69,90.70000000000002,0.0,1.0,1.0,0.0,0
109.29,444.43,60.41,0.0,1.0,1.0,0.0,0
27.04,203.88,72.04,0.0,1.0,1.0,0.0,0
17.79,61.94,14.160000000000002,0.0,1.0,1.0,0.0,0
77.95,361.1,76.6,0.0,1.0,1.0,0.0,0
11.34,45.35,81.6,0.0,1.0,1.0,0.0,0
14.5,6.77,34.26,0.0,1.0,1.0,0.0,0
22.54,64.48,36.5,0.0,1.0,1.0,0.0,0
79.96,381.1,254.75,0.0,1.0,1.0,0.0,0
26.81,185.65,60.99,0.0,1.0,1.0,0.0,0
37.21,111.41,69.17,0.0,1.0,1.0,0.0,0
102.57,315.32,37.81,0.0,1.0,1.0,0.0,0
75.91,290.12,71.3,0.0,1.0,1.0,0.0,0
57.35,191.42,17.06,0.0,1.0,1.0,0.0,0
2.47,12.91,173.68,0.0,1.0,1.0,0.0,0
87.32,258.25,259.21,0.0,1.0,0.0,1.0,1
17.4,70.76,24.13,0.0,1.0,1.0,0.0,0
14.68,48.25,45.34000000000001,0.0,1.0,0.0,1.0,1
13.62,20.92,135.28,0.0,1.0,1.0,0.0,0
8.55,164.25,92.61999999999999,0.0,1.0,1.0,0.0,0
29.6,113.87,21.94,0.0,1.0,1.0,0.0,0
17.31,201.34,28.75,0.0,1.0,1.0,0.0,0
125.25,163.89,50.35,0.0,1.0,0.0,1.0,1
29.08,129.28,68.93,0.0,1.0,1.0,0.0,0
32.24,221.1,103.54,0.0,1.0,1.0,0.0,0
25.61,50.07,58.11,0.0,1.0,1.0,0.0,0
74.62,161.63,11.77,0.0,1.0,1.0,0.0,0
10.73,15.500000000000002,49.29,0.0,1.0,1.0,0.0,0
66.84,319.94,135.48,0.0,1.0,1.0,0.0,0
57.76,99.83,193.27,0.0,1.0,1.0,0.0,0
10.34,402.59,7.3100000000000005,0.0,1.0,1.0,0.0,0
6.86,26.61,84.01000000000002,0.0,1.0,1.0,0.0,0
69.1,147.26,30.53,0.0,1.0,1.0,0.0,0
63.88,290.85,179.29,0.0,1.0,1.0,0.0,0
12.53,369.55,105.64999999999999,0.0,1.0,1.0,0.0,0
30.54,144.93,42.23,0.0,1.0,0.0,1.0,1
60.24,155.38,44.87,0.0,1.0,1.0,0.0,0
45.55,85.84,81.32,0.0,1.0,1.0,0.0,0
42.76,409.11,63.48,0.0,1.0,0.0,1.0,1
57.93,304.53,130.47,0.0,1.0,1.0,0.0,0
23.85,148.88,17.78,0.0,1.0,1.0,0.0,0
20.82,185.35,55.76,0.0,1.0,1.0,0.0,0
44.86,408.68,110.29,0.0,1.0,1.0,0.0,0
115.56,354.44,204.12,0.0,1.0,0.0,1.0,1
14.17,90.83,32.26,0.0,1.0,1.0,0.0,0
29.91,145.23,15.92,0.0,1.0,1.0,0.0,0
